S/N,Subject Description,Topic ,Text
48.   ,,Wide Area Network (WAN),"Wide Area Network provides no limit of distance. In most WAN, the subnet consists of two distinct components. Transmission lines, also called circuits or channels, and routers. Transmission lines are used for moving bits between machines, whereas routers are used to connect two or more transmission lines."
,,," A WAN provides long distance transmission of data, voice, image and video information over large geographical areas that may comprise a country, a continent or even the whole world. In contrast to LANs (which depend on their own hardware for transmission), WANs may utilize public, leased or private communication devices usually in combination, and span own unlimited number of miles. "
,,,A WAN that is wholly owned by a single company is often referred to as an enterprise network.
49.   ,,Polling–Based MAC Protocols,"Polling involves the channel control of all workstations in a network. The primary workstation acts like a teacher going down the rows of the classroom asking each student for homework. When one student has answered, the next is given a chance to respond. A polling network contains two classes of workstations, the primary workstation and the multiple secondary workstations connected to it. A buffer that can temporarily store messages is associated with each secondary workstation. When a workstation has information to transmit, the data is passed to the buffer. The frames are held until the central controller polls the workstation."
50.   ,,The goal of Network administration,The goal is to keep the network running properly and configuring and managing services that are provided over the network. There are many services that we use regularly. There are some which work in the background enabling other services to run smoothly.
51.   ,,The challenges of system administration,System administration is not just about installing operating systems. It is about planning and designing an efficient community of computers so that real users will be able to get their jobs done. That means: 
,,,• Designing a network which is logical and efficient. 
,,,• Deploying large numbers of machines which can be easily upgraded later. 
,,,• Deciding what services are needed. 
,,,• Planning and implementing adequate security. 
,,,• Providing a comfortable environment for users. 
,,,• Developing ways of fixing errors and problems which occur. • Keeping track of and understanding how to use the enormous amount of knowledge which increases every year.
52.   ,,Function of packets,"The function of a packet is to carry data from one point to another. Protocols require that packet contain some basic information about their source and their destination and in many cases, protocols require that the packet include a checksum. A checksum is a number that can be used to verify that the packet has been transferred across the network without being corrupted."
53.   ,,Token Passing,"The network continuously circulates a special bit pattern known as a token, among all the modes in the network. Each token contains network information, comprising a header, a data field and a trailer. Any mode willing to send a frame has to grass a token first. Now, let us talk about some standards."
54.   ,,What is network and system administration,"Network and system administration is a branch of engineering that concerns the operational management of human–computer systems. It is about putting together a network of computers (workstations, PCs and supercomputers), getting them running and then keeping them running in spite of the activities of users who tend to cause the systems to fail. "
,,,"A system administrator works for users, so that they can use the system to produce work. However, a system administrator should not just cater for one or two selfish needs, but also work for the benefit of a whole community. Today, that community is a global community of machines and organizations, which spans every niche of human society and culture, thanks to the Internet. It is often a difficult balancing act to determine the best policy, which accounts for the different needs of everyone with a stake in a system. Once a computer is attached to the Internet, we have to consider the consequences of being directly connected to all the other computers in the world."
55.   ,,Types of Network,There are basically two types of network based on whether the network contains switching elements or not. These are Point–to–Point network and Broadcast network.
,,,"Ø  Point–to–Point Network or Switch Network Point–to–Point networks consist of many connections between individual pairs of machines. To go from the to the source destination, a packet on this type of network may have to first visit one or more intermediate machine routers. When a packet is sent from one router to another intermediate router, the entire packet is stored at each intermediate router, till the output line is free and then forwarded. A subnet using this principle is called Point–to–Point or Packet switched network."
,,,"·       Star In a star topology, each device has a dedicated Point–to–Point link only to a central controller, usually called a hub. These devices are not linked to each other. If one device wants to send data to another, it sends to the hub which then relays the data to the other connected devices. In a star, each device needs only one link and one I/O Port to connect it to any number of other devices. This factor makes it easy to install and configure. Far less cabling need to be housed and additions, moves and deletions involve only one connection between that device and the hub. "
,,,"·       Tree A tree topology is a variation of a star. As in a star modes in a tree are linked to a central hub that controls the traffic to the network. However, not every device plugs directly into the central hub. The majority of devices connect to a secondary hub that in turn is connected to the central hub."
,,,"·        Ring In a ring topology, each device has a dedicated Point–to–Point line configuration only, with the two devices on either side of it. A signal is passed along the ring in one direction from device to device, until it reaches its destination. Each device in the ring incorporates a repeater. When a device receives a signal intended for another device, its repeater regenerates the bits and passes them along."
,,,"·       Bus, unlike other topologies, is a multi–point configuration. One long cable acts as a backbone to link all the devices in the network. Advantages of a bus topology include use of installation. A disadvantage includes difficult reconfiguration and fault isolation."
,,,"Ø  Broadcast Networks Broadcast networks have a single communication channel that is shared by all the machines on the network. Short messages, called packets, sent by any machine are received by all the others. An address field within the packet specifies for when it is intended. Upon receiving a packet, a machine checks the address field. If the packet is intended for itself, it processes the packet; if the packet is intended for some other machine, it is just ignored."
56.   ,,PACKET SWITCHING,"A quite different approach is used in a packet switching network. In this case, it is not necessary to dedicate transmission capacity along a path through the network. Rather, data are sent out in a sequence of small chunks, called packets. Each packet is passed through the network from node to node along some path leading from source to destination. At each node, the entire packet is received, stored briefly, and then transmitted to the next node. Packet switching networks are commonly used for terminal to computer communications."
57.   ,,Bridges,"Segmenting a large network with a device has numerous benefits. Among these are reduced collisions (in an Ethernet network), contained bandwidth utilization, and the ability to filter out unwanted packets. However, if the addition of the interconnect device required extensive reconfiguration of stations, the benefits of the device would be outweighed by the administrative overhead required to keep the network running. Bridges were created to allow network administrators to segment their networks transparently. This means that individual stations need not know whether there is a bridge separating them or not. It is up to the bridge to make sure that packets get properly forwarded to their destinations. This is the fundamental principle underlying all of the bridging behaviours. Bridges work at the Data Link Layer of the OSI model. Since bridges work in the Data Link Layer they do not examine the network layer addresses. They just look at the MAC addresses for Ethernet and Token Ring, Token Bus and determine whether or not to forward or ignore a packet."
58.   ,,Modem,"This is a device which is used to convert digital signals generated by the computer into an analog signal to be carried by a public access telephone line. It is also the device that converts the analog signal received over a phone line into digital signal usable by the computer. A modem derives it meaning from a modulation, and demodulation is a composite word that refers to two functional units that make up a device. A signal modulator and a signal demodulator. A modulator converts digital signal into an analog signal. A demodulator converts analog signal into digital signal. Modem can be classified into many categories to include the mode of transmission and their techniques, as well as by the application features they contain and the type of lines they are built to service."
59.   ,,Asynchronous Transfer Mode (ATM),"Asynchronous Transfer Mode (ATM) is a form of data transmission that allows voice, video and data to be sent along the same network. In contrast to ATM, in the past, voice, video and data were transferred using separate networks. For example, voice was transmitted over the phone, video over cable networks, and data over an internetwork. ATM is the ultimate culmination of all the developments in switching and transmission in the last twenty years and has the best of circuit switching and packet switching (discussed, in the previous block). "
,,,"Asynchronous Transfer Mode (ATM) is a technology that has its history in the development of broadband ISDN in the 1970s and 1980s. In this unit, first we will have a re–look at different types of switching techniques (technologies) and then we will examine how ATM is compatible with the existing technologies and then compare the architectural difference between ATM and the OSI model and finally, spend some time on how ATM protocol works."
60.   ,,Circuit Switching,"This was the first type of data transfer mechanism used. Circuit switching is used in the telephone networks to transmit voice and data signals. In a synchronous transmission, which involves transmission of voice, a synchronized connection must be made between the sender and receiver because there must be a constant time interval between each successive bit, character, or event. To enable synchronized transmission, circuit switching establishes a dedicated connection between the sender and the receiver involved in the data transfer over the network. As a result, the connection consumes network capacity whether or not there is an active transmission taking place; for example, the network capacity is used even when a caller is put on hold. For different applications, utilization of the line can vary enormously. However, there is little delay and effective transparency for the user. It is very efficient for Constant Bit Rate (CBR)."
61.   ,,The ATM Network,An ATM networks consist of a set of ATM switches interconnected by point–to–point ATM links or interfaces. ATM switches support three kinds of interfaces: 
,,,·       User–Network Interfaces (UNI) 
,,,·       Network–Node Interfaces (NNI)
,,,·       Inter–Carrier Interface (ICI)
62.   ,,Type of Connection,A network is two or more devices connected through links. A link is a communications pathway that transfers data from one device to another. There are two possible types of connections: point-to-point and multipoint. 
,,,"·       Point-to-Point: A point-to-point connection provides a dedicated link between two devices. The entire capacity of the link is reserved for transmission between those two devices. Most point-to-point connections use an actual length of wire or cable to connect the two ends, but other options, such as microwave or satellite links, are also possible. When you change television channels by infrared remote control, you are establishing a point-to-point connection between the remote control and the television's control system. "
,,,"·       Multipoint: A multipoint (also called multi-drop) connection is one in which more than two specific devices share a single link. In a multipoint environment, the capacity of the channel is shared, either spatially or temporally. If several devices can use the link simultaneously, it is a spatially shared connection. If users must take turns, it is a timeshared connection."
63.   ,,Physical Topology,"The term physical topology refers to the way in which a network is laid out physically. Two or more devices connect to a link; two or more links form a topology. The topology of a network is the geometric representation of the relationship of all the links and linking devices (usually called nodes) to one another. There are four basic topologies possible: mesh, star, bus, and ring"
64.   ,,Switching,"A network is a set of connected devices. Whenever we have multiple devices, we have the problem of how to connect them to make one-to-one communication possible. One solution is to make a point-to-point connection between each pair of devices (a mesh topology) or between a central device and every other device (a star topology). These methods, however, are impractical and wasteful when applied to very large networks. "
,,,"The number and length of the links require too much infrastructure to be cost-efficient, and the majority of those links would be idle most of the time. "
,,,"A better solution is switching. A switched network consists of a series of interlinked nodes, called switches. Switches are devices capable of creating temporary connections between two or more devices linked to the switch. In a switched network, some of these nodes are connected to the end systems (computers or telephones, for example). Others are used only for routing. Figure shows a switched network."
65.   ,,Circuit-Switched Networks,"A circuit-switched network consists of a set of switches connected by physical links. A connection between two stations is a dedicated path made of one or more links. However, each connection uses only one dedicated channel on each link. Each link is normally divided into n channels by using FDM or TDM."
,,," In circuit switching, the resources need to be reserved during the setup phase; the resources remain dedicated for the entire duration of data transfer until the teardown phase."
66.   ,,Advantages of Distributed processing,Advantages of Distributed processing are: 
,,,·       Security/ Encapsulation 
,,,·       Distributed data bases 
,,,·       Faster problem solving 
,,,·       Security through Redundancy 
,,,·       Collaborative processing
67.   ,,Integrated Services Digital Network (ISDN),"ISDN was developed by ITU- T in 1976.It is a set of protocols that combines digital telephony and data transport services. The whole idea is to digitize the telephone network to permit the transmission of audio, video, and text over existing telephone lines. The goal of isdn is to form a wide network that provides universal end –to – end connectivity over digital media. This can be done by integrating all of the separate transmission services into one without adding links or subscriber lines."
68.   ,,Hamming codes,"Hamming codes provide another method for error correction. Error bits, called Hamming bits, are inserted into message bits at random locations. It is believed that the randomness of their locations reduces the odds that these Hamming bits themselves would be in error. This is based on a mathematical assumption that because there are so many more message bits compared with Hamming bits, there is a greater chance for a message bit to be in error than for a Hamming bit to be wrong. Determining the placement and binary value of the Hamming bits can be implemented using hardware, but it is often more practical to implement them using software. The number of bits in a message (M) are counted and used to solve the following equation to determine the number of Hamming bits (H) to be used: "
,,,2H ≥ M + H + 1
,,,"Once the number of Hamming bits is determined, the actual placement of the bits into the message is performed. It is important to note that despite the random nature of the Hamming bit placements, the exact sample placements must be known and used by both the transmitter and receiver. Once the Hamming bits are inserted into their positions, the numerical values of the bit positions of the logic 1 bits in the original message are listed. The equivalent binary numbers of these values are added in the same manner as used in previous error methods by discarding all carry results. The sum produced is used as the states of the Hamming bits in the message. The numerical difference between the Hamming values transmitted and that produced at the receiver indicates the bit position that contains a bad bit, which is then inverted to correct it."
69.   ,,Piggy backing,"In most practical situations there is a need of transmitting data in both directions. This can be achieved by full duplex transmission. If this is done we have two separate physical circuits each with a “forward” and “reverse” channel. In both cases, the reverse channel is almost wasted. To overcome this problem a technique called piggy backing is used. "
,,,The technique of temporarily delaying outgoing acknowledgements so that they can be hooked onto the next outgoing data frame is known as piggy backing. 
,,,"However, piggybacking introduces a complication not present with separate acknowledgements. How long should the data link layer wait longer than the sender‘s timeout period, the frame will be retransmitted, defeating the whole purpose of having acknowledgements. Of course, the data link layer cannot foretell the future, so it must resort to some ad hoc scheme, such as waiting a fixed number of milli seconds. If a new packet arrives quickly, the acknowledgement is piggy backed onto it; otherwise, if no new packet has arrived by the end of this time period, the data link layer just sends a separate acknowledgement frame."
70.   ,,Internetwork protocol,"At the network layer, TCP/IP supports the internetwork protocol .IP, in turn, contains four supporting protocols: ARP, RARP, ICMP, and IGMP. "
,,,"IP is the transmission mechanism used by the TCP/IP protocols. It is an un-reliable and connectionless datagram protocol – a best effort delivery service. This is like a post office service. The post office does its best to deliver the mail but does not always succeed. If an unregistered letter is lost. It is up to the sender or would recipient to discover the loss and rectify the problem. The post office itself does not keep track of every letter and cannot notify a sender of loss or damage. An example of a situation similar to pairing IP with a protocol that contains reliability functions is a self-addressed, stamped postcard included in a letter mailed through the post office. When the letter is delivered, the receiver mails the postcard back to the sender to indicate success. If the sender never receives the postcard, he or she assumes the letter was lost and sends out another copy. IP transports data in packets called Datagrams, each of which is transported separately. Datagrams may travel along different routes and may arrive out of sequence or duplicated. IP does not create virtual circuits for delivery."
71.   ,,Security Attacks,Attacks on the security of a computer system or network are best characterized by viewing the function of the computer system as providing information. 
,,,There are four general categories of attack: 
,,,"· Interruption: An asset of the system is destroyed or becomes unavailable or unusable. This is an attack on availability. Examples include destruction of a piece of hardware, such as a hard disk, the cutting of a communication line, or the disabling of the file management system. "
,,,"· Interception: An unauthorized party gains access to an asset. This is an attack on confidentiality. The unauthorized party could be a person, a program, or a computer. Examples include wiretapping to capture data in a network, and the illicit copying of files or programs. "
,,,"· Modification: An unauthorized party not only gains access to but tampers with an asset. This is an attack or integrity. Examples include changing values in a data file, altering a program so that it performs differently, and modifying the content of messages being transmitted in a network. "
,,,· Fabrication: An unauthorized party inserts counterfeit objects into the system. This is an attack on authenticity. Examples include the insertion of spurious messages in a network or the addition of records to a file.
72.   ,,Encapsulation,"Encapsulation is the process of encoding data for transmitting it across the network. Once a packet is created as described previously, in order for the packet to be transmitted to its final destination, it may need to use a protocol in addition to the one that it is currently using. A header and CRC are then added to the newly created packet. This packet is an encapsulated packet. Figure 1 illustrates an encapsulated packet."
73.   ,,The OSI model,"The Open System Interconnection (OSI) reference model was developed by the International Standards Organization (ISO) and provides a framework for protocol development. By implementing a communication protocol that adheres to the OSI model, systems developed by different manufacturers are able to communicate. The tasks that must be performed to enable machines to communicate in an effective and efficient manner are incorporated within a seven-layer hierarchy, as indicated in figure 3. Although the protocols detailed within this reference 0 model are seldom used, the model provides us with an excellent conceptual framework for understanding the tasks performed by the various software layers. Below we briefly summarize aspects of the functionality of the various layers."
74.   ,,User Data Protocol (UDP),"User Data Protocol (UDP) The internet protocol suite also supports a connectionless transport protocol, UDP (User Data Protocol). UDP provides a way for applications to send encapsulated raw IP datagrams and send them without having to establish a connection. Many client–server applications that have one request and one response use UDP rather than go through the trouble of establishing and later releasing a connection. A UDP segment consists of an 8–byte header followed by the data. The two ports serve the same function as they do in TCP: to identify the end–points within the source and destination machines. The UDP length field includes the 8–byte header and the data. The UDP checksum includes the same format pseudo– header, the UDP header, and the UDP data, padded out to an even number of bytes if need be. It is optional and stored as 0 if not computed."
75.   ,,The Domain Name System (DNS),"DNS is a scheme for assigning meaningful high-level name to a large set of machines, and discusses a mechanism that maps between high-level machine names and IP addresses. It considers both the translation from high-level name to IP addresses and the translation from IP addresses to high-level machines names. It has been used to assign machine names throughout the global Internet. It uses a geographically distributed set of servers to map names to addresses, the implementation of the name mapping mechanism provides a large scale example of the client sever paradigm. In a TCP/IP internet, hierarchical machine names are assigned according to the structure of organizations that obtain authority for parts of the namespace, not necessarily according to the structure of the physical network interconnections."
76.   ,,Electronic Mail,"This is the most widely used service facilitating users to send and receive messages electronically in a store and forward manner. Different E–mail standards, viz., SMTP, UUCP and X400 Message Handling system, are supported on ERNET."
,,, Electronic Mail is a system whereby a computer user can exchange messages with other computer users or group of users via a communications network. 
,,,"The backbone of an electronic mail system is a communication network that connects remote terminals to a central system or a local area network that interconnects personal computers. Users can send mails to a single recipient or they can broadcast it to any number of selected users on the systems. When multi–tasking personal computer and workstation are used, mail can be delivered to users while they are working on something else. Otherwise, users have to interrogate their mail boxes in a central system, or file server."
,,," Many users first encounter computer networks when they send or receive electronic mail to or from a remote site. E–mail is the most widely used application service. Indeed, many computer users access networks only through electronic mail. "
,,,"E–mail is popular because it offers a fast, convenient method of transferring information. E–mail can accommodate small notes or large voluminous memos with a single mechanism. It should not surprise you to learn that more users send files with electronic mail than with file transfer protocols."
77.   ,,WWW (World Wide Web),"The World Wide Web is a system for linking up hypertext documents. Each document is a page written in HTML, possible with hyperlinks to other documents. A browser can display a document by establishing a TCP connection to its server, asking for the document, and then closing the connection. When a hyperlink is selected by the user, that document can also be fetched in the same way. In this manner, documents all over the world are linked together in a giant web. Some facts about WWW: "
,,,· Fastest growing discovery and retrieval system
,,,"· Presently 10,000 servers, growing at an astounding rate "
,,,"· Retrieve “hypermedia” documents, with text, graphics, audio, video, and links to other hypermedia documents. "
,,,· A navigational system based on “hyperlink” 
,,,"· State–less interaction between client and server, conforming to “http” protocol."
78.   ,,Remote Procedure Call (RPC),"The designers chose to build three independent pieces; the NFS protocol itself, a general purpose Remote Procedure Call (RPC) mechanism, and a general purpose External Data Representation (XDR). Their intent was to separate the three to make it possible to use RPC and XDR in other software, including application programs as well as other protocols. For example, a programmer can divide a program into a client side and a server side that use RPC as the chief communication mechanism can one of the client sides, the programmer designates some procedures as remote, forcing the compiler to incorporate RPC code into those procedures. On the server side, the programmer implements the desired procedures and uses other RPC facilities to declare them to be part of a server. When the executing client program calls one of the remote procedures, RPC automatically collects values for argument, from a message, sends the message to the remote server, awaits a response, and stores returned values in the designated arguments. In essence, communication with the remote server occurs automatically as a side– effect of a remote call. The RPC mechanism hides all the details of protocols, making it possible for programmers who know little about the underlying communication protocols to write distributed programs."
,,,
79.   ,,File Transfer Protocol (FTP),FTP (File Transfer Protocol) is the primary method of transferring files over the Internet. “FTP” transfers files to and from a remote network site. Some sites maintain Anonymous accounts on the system for retrieval of public domain software stored on the system. 
,,,"The ftp protocol is used to access files by FTP, the Internet’s file transfer protocol. FTP has been around more than two decades and is well entrenched. Numerous FTP servers all over the world allow people anywhere on the internet to log in and download whatever files have been placed on the FTP server. The web does not change this; it just makes obtaining files by FTP easier, as FTP has a somewhat arcane interface."
80.   ,,Telnet,"Telnet is a program that allows you to establish a virtual terminal connection between two machines using TCP/IP. For this, you must have its internet address or host name of computer."
,,,
81.   ,SOFTWARE ENGINEERING,Software Engineering,"Software engineering is an engineering branch associated with development of software product using well-defined scientific principles, methods and procedures. The outcome of software engineering is an efficient and reliable software product."
82.   ,,Paradigm ,"This Paradigm is known as Software Engineering Paradigms; where all the engineering concepts pertaining to the development of software are applied. It includes various researches and requirement gathering which helps the software product to build. It consists of Requirement gathering, Software design, and Programming"
83.   ,,Big Bang Model,"Big Bang Model is the simplest model in its form. It requires little planning, lots of programming and lots of funds. This model is conceptualized around the big bang of universe. As scientists say that after big bang lots of galaxies, planets, and stars evolved just as an event. Likewise, if we put together lots of programming and funds, you may achieve the best software product."
84.   ,,Software Project,"A Software Project is the complete procedure of software development from requirement gathering to testing and maintenance, carried out according to the execution methodologies, in a specified period of time to achieve intended software product."
85.   ,,Software Project Manager,A software project manager is a person who undertakes the responsibility of executing the software project. Software project manager is thoroughly aware of all the phases of SDLC that the software would go through. The project manager may never directly involve in producing the end product but he controls and manages the activities involved in production.
86.   ,,Project Manager,"A Project Manager closely monitors the development process, prepares and executes various plans, arranges necessary and adequate resources, maintains communication among all team members in order to address issues of cost, budget, resources, time, quality and customer satisfaction."
87.   ,,Project Scheduling,"Project Scheduling in a project refers to roadmap of all activities to be done with specified order and within time slot allotted to each activity. Project managers tend to define various tasks and project milestones and then arrange them keeping various factors in mind. They look for tasks like in critical path in the schedule, which are necessary to complete in specific manner (because of task interdependency) and strictly within the time allocated. Arrangement of tasks which lies out of critical path are less likely to impact over all schedule of the project."
88.   ,,Effective Communication,"Effective Communication plays vital role in the success of a project. It bridges gaps between Client and the Organization, among the Team members as well as other Stake Holders in the project such as Hardware Suppliers."
89.   ,,Modularization,"Modularization is a technique to divide a software system into multiple discrete and independent modules, which are expected to be capable of carrying out task(s) independently. These modules may work as basic constructs for the entire software. Designers tend to design modules such that they can be executed and/or compiled separately and independently"
90.   ,,Data Flow Diagram (DFD),"Data Flow Diagram (DFD) is a graphical representation of flow of data in an Information System. It is capable of depicting incoming data flow, outgoing data flow, and stored data. The DFD does not mention anything about how data flows through the system. There is a prominent difference between DFD and Flowchart. The flowchart depicts flow of control in program modules. DFDs depict flow of data in the system at various levels. It does not contain any control or branch elements."
91.   ,,Software Development Life Cycle (SDLC),"The software development life cycle (SDLC) is the process for planning, creating, testing, and deploying an information system. There are different approaches to break down the work when developing software systems. Conceptually, each model provides specific guidance to the sequencing and repetition of life cycle activities to deliver high-quality software systems."
92.   ,,Software Modeling ,"Many believe that good design is fundamental to creating successful software. The first step in software creation is to gather requirements. Notations, such as UML, allow us to articulate complex ideas succinctly and precisely. Designing software requires the use of certain industry-standard design tools, and mastery of them is essential to becoming a capable software engineer."
,,,"This unit will introduce you to UML, a standardized general-purpose modeling language for creating visual models of object-oriented software. This unit aims to give you a comprehensive understanding of UML, the five fundamental artifacts of UML, and modeling concepts, as well as the modeling concepts' relationships to the terms system, model, and view."
,,,
93.   ,,Software Requirements Gathering,"Requirements gathering requires the software engineer (in this case, a business analyst) to interact with the stakeholders, including customers and users, to gather/collect information about what the software system being developed needs to do. There is also the situation where vendors are subcontracted to develop all, or some components, of the software systems and/or develop the hardware that the software will run on. In this case, the vendors bid on the subcontract by providing a proposal in response to a request for proposals. In this unit, you will learn the data/information types, data collection techniques, and data collection and application types."
,,,
94.   ,,Project management,"Project management in a software engineering environment is unique because of the technical aspects of a software project. The project manager's role is different from that of the software engineer's. While software engineers are generally accountable for the technical aspects of a project, the project manager is accountable for organizational aspects."
,,,"As you review the materials of the unit, try to connect this unit with what you have already learned about the software development life cycle. You will see that the success of an SDLC depends on people, process, and product. Project management is the glue that holds these aspects together."
,,,
95.   ,,Who is a Software Engineer?,"A software engineer is an individual who applies the principles of software engineering to the design, development, testing, and evaluation of the software and systems in order to meet with client‘s requirements. He/she fully designs software, tests, debugs and maintains it. Software engineer needs knowledge of varieties of computer programming languages and applications; to enable him cope with the varieties of works before him. In view of this, he can sometimes be referred to as a computer programmer."
96.   ,,What is Software Crisis?,"The term software crisis was used in the early days of software engineering. It was used to describe the impact of prompt increases in computer power and the difficulty of the problems which could be tackled. In essence, it refers to the difficulty of writing correct, understandable, and verifiable computer programs. The sources of the software crisis are complexity, expectations, and change. Conflicting requirements has always hindered software development process. For instance, while users demand a large number of features, customers generally want to minimise the amount they must pay for the software and the time required for its development. F. L. Bauer coined the term ""software crisis"" at the first NATO Software Engineering Conference in 1968 at Garmisch, Germany. The term was used early in Edsger Dijkstra's 1972 ACM Turing Award Lecture:"
97.   ,,Requirements Management,"Requirements Management is the all-inclusive process that includes all aspects of software requirements analysis and as well ensures verification, validation and traceability of requirements. Effective requirements management practices assure that all system requirements are stated unmistakably, that omissions and errors are corrected and that evolving specifications can be included later in the project lifecycle."
98.   ,,Definition of software design,"A software design is a meaningful engineering representation of some software product that is to be built. A design can be traced to the customer's requirements and can be assessed for quality against predefined criteria. In the software engineering context, design focuses on four major areas of concern: data, architecture, interfaces and components. "
,,,"The design process is very important. As a laborer, for example one would not attempt to build a house without an approved blueprint so as not to risk the structural integrity and customer satisfaction. In the same way, the approach to building software products is no unlike. The emphasis in design is on quality. It is pertinent to note that, this is the only phase in which the customer‘s requirements can be precisely translated into a finished software product or system. As such, software design serves as the foundation for all software engineering steps that follow regardless of which process model is being employed."
99.   ,,What is Modularity?,"Modularity is a general systems concept which is the degree to which a system‘s components may be separated and recombined. It refers to both the tightness of coupling between components, and the degree to which the “rules” of the system architecture enable (or prohibit) the mixing and matching of components. "
,,,"The concept of modularity in computer software has been promoted for about five decades. In essence, the software is divided into separately names and addressable components called modules that are integrated to satisfy problem requirements. It is important to note that a reader cannot easily understand large programs with a single module. The number of variables, control paths and sheer complexity make understanding almost impossible. As a result a modular approach will allow for the software to be intellectually manageable. However, it is important to note that software cannot be subdivided indefinitely so as to make the effort required to understand or develop it negligible. This is because the more the number of modules, the less the effort to develop them."
100.                   ,,Module Interconnection Languages,"Module interconnection languages (MILs) provide formal grammar constructs for deciding the various module interconnection specifications required to assemble a complete software system. MILs enable the separation between programming-in-thesmall and programming-in-the-large. Coding a module represents programming in the small, while assembling a system with the help of a MIL represents programming in the large. An example of MIL is MIL-75."
101.                   ,,Top-Down Design,"Top-down is a programming style, the core of traditional procedural languages, in which design begins by specifying complex pieces and then dividing them into successively smaller pieces. Finally, the components are precise enough to be coded and the program is written. It is the exact opposite of the bottom-up programming approach which is common in object-oriented languages such as C++ or Java. The method of writing a program using top-down approach is to write a main procedure that names all the major functions it will need. After that the programming team examines the requirements of each of those functions and repeats the process. These compartmentalized sub-routines finally will perform actions so straightforward they can be easily and concisely coded. The program is done when all the various sub-routines have been coded."
102.                   ,,Bottom-up approach,"In a bottom-up approach the individual base elements of the system are first specified in great detail. These elements are then connected together to form bigger subsystems, which are linked, sometimes in many levels, until a complete top-level system is formed. This strategy often resembles a ""seed"" model, whereby the beginnings are small, but eventually grow in complexity and completeness. "
,,,"Object-oriented programming (OOP) is a programming paradigm that uses ""objects"" to design applications and computer programs."
,,,"This bottom-up approach has one drawback. We need to use a lot of perception to decide the functionality that is to be provided by the module. This approach is more suitable if a system is to be developed from existing system, because it starts from some existing modules. Modern software design approaches usually mix both top-down and bottom-up approaches."
103.                   ,,Definition of Pseudo code,"Pseudo-code is a non-formal language, a way to create a logical structure, describing the actions, which will be executed by the application. Using pseudo-code, the developer shows the application logic using his local language, without applying the structural rules of a specific programming language. The big advantage of the pseudo-code is that the application logic can be easily comprehended by any developer in the development team. In addition, when the application algorithm is expressed in pseudo-code, it is very easy to convert the pseudo-code into real code (using any programming language)."
104.                   ,,Definition of Programming Environment,"Programming environments gives the basic tools and Application Programming Interfaces, or APIs, necessary to construct programs. Programming environments help the creation, modification, execution and debugging of programs. The goal of integrating a programming environment is more than simply building tools that share a common data base and provide a consistent user interface. Altogether, the programming environment appears to the programmer as a single tool; there are no firewalls separating the various functions provided by the environment."
105.                   ,,Types of Programming Environment,Software development tools can be roughly divided into the following categories:
,,,· performance analysis tools 
,,,· debugging tools 
,,,· static analysis and formal verification tools 66 
,,,· correctness checking tools 
,,,· memory usage tools 
,,,· application build tools 
,,,· integrated development environment
106.                   ,,Integrated development environments,"Integrated development environments (IDEs) merge the features of many tools into one complete package. They are usually simpler and make it easier to do simple tasks, such as searching for content only in files in a particular project. IDEs are often used for development of enterprise-level applications. Some examples of IDEs are: · Delphi "
,,,· C++ Builder (CodeGear) 
,,,· Microsoft Visual Studio 
,,,· EiffelStudio 
,,,· GNAT Programming Studio 
,,,· Xcode 
,,,· IBM Rational Application Developer 
,,,· Eclipse 
,,,· NetBeans 
,,,· IntelliJ IDEA 
,,,· WinDev 
,,,· Code::Blocks 
,,,· Lazarus
107.                   ,,What is CASE Tools?,"CASE tools are a class of software that automates many of the activities involved in various life cycle phases. For example, when establishing the functional requirements of a proposed application, prototyping tools can be used to develop graphic models of application screens to assist end users to visualize how an application will look after development. Subsequently, system designers can use automated design tools to transform the prototyped functional requirements into detailed design documents. Programmers can then use automated code generators to convert the design documents into code. Automated tools can be used collectively, as mentioned, or individually. For example, prototyping tools could be used to define application requirements that get passed to design technicians who convert the requirements into detailed designs in a traditional manner using flowcharts and narrative documents, without the assistance of automated design software. "
